Date : 2025-08-27 16:45:30
Directory : c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend
Total : 146 files,  30948 codes, 1696 comments, 3071 blanks, all 35715 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\componentes\HorarioSearch.jsx        | JavaScript JSX |        220 |         13 |         19 |        252 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\componentes\HorarioTable.jsx         | JavaScript JSX |        396 |         12 |         40 |        448 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\modales\CambiarEstadoModal.jsx       | JavaScript JSX |        232 |         17 |         25 |        274 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\modales\CrearHorarioModal.jsx        | JavaScript JSX |        420 |         33 |         51 |        504 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\modales\EditarHorarioModal.jsx       | JavaScript JSX |        422 |         29 |         49 |        500 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\horarios\modales\EliminarHorarioModal.jsx     | JavaScript JSX |        260 |         15 |         27 |        302 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\reservas\componentes\AsistenciaModal.jsx      | JavaScript JSX |          0 |          0 |          1 |          1 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\RutinasEntrenador.jsx                 | JavaScript JSX |        514 |         24 |         59 |        597 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\componentes\RutinaFilters.jsx         | JavaScript JSX |        130 |          7 |         17 |        154 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\componentes\RutinaSearch.jsx          | JavaScript JSX |        233 |         18 |         23 |        274 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\componentes\RutinaTable.jsx           | JavaScript JSX |        334 |          8 |         24 |        366 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\modales\CambiarEstadoModal.jsx        | JavaScript JSX |        171 |          7 |         16 |        194 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\modales\CrearRutinaModal.jsx          | JavaScript JSX |        205 |          6 |         17 |        228 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\rutinas\modales\EditarRutinaModal.jsx         | JavaScript JSX |        281 |          8 |         21 |        310 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\entrenador\usuarios\modales\EditarUsuarioModal.jsx       | JavaScript JSX |        286 |          7 |         19 |        312 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\api.js                                                  | JavaScript     |         28 |          4 |          4 |         36 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\auth.js                                                 | JavaScript     |         78 |         10 |         13 |        101 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\equipos.js                                              | JavaScript     |         37 |         26 |          6 |         69 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\horarios.js                                             | JavaScript     |         35 |          9 |          8 |         52 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\ia_routines_client.js                                   | JavaScript     |        169 |         65 |         26 |        260 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\reservas.js                                             | JavaScript     |        173 |         17 |         32 |        222 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\rutinas.js                                              | JavaScript     |         36 |          9 |          9 |         54 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\services\usuarios.js                                             | JavaScript     |         68 |          9 |         10 |         87 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\utilidades\constantes.js                                         | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\utilidades\helper.js                                             | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\utilidades\roles.js                                              | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\utilidades\validaciones.js                                       | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\tailwind.config.cjs                                                  | JavaScript     |         15 |          1 |          1 |         17 |
| c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\vite.config.js                                                       | JavaScript     |         14 |          0 |          1 |         15 |
| Total                                                                                                                 |                |     30,948 |      1,696 |      3,071 |     35,715 |
+-----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
