genero,edad,peso,altura,objetivo,TMB,día,ejercicio,series,repeticiones,parte_musculo
Femenino,52,70.2,1.73,aumento de peso,1395.92,lunes,"['Pike push ups', 'Flexiones archer', 'Flexiones declinadas']","[2, 3, 4]","[13, 9, 15]","['hombro', 'pecho', 'pecho']"
Masculino,18,74.7,1.8,perdida de peso,1866.99,martes,"['Remo archer', 'Pike push ups', 'Remo archer', 'Pike push ups']","[6, 6, 6, 5]","[24, 29, 20, 30]","['espalda', 'bicep_tricep', 'espalda', 'bicep_tricep']"
Femenino,27,66.8,1.7,perdida de peso,1475.38,sábado,"['Flexiones pike', 'Flexiones explosivas', 'Zancadas', 'Dominadas pronadas']","[4, 4, 6, 5]","[19, 17, 26, 29]","['pecho', 'pecho', 'pierna', 'espalda']"
Masculino,28,77.2,1.71,aumento de peso,1788.24,viernes,"['Superman', 'Dominadas neutras', 'Shrugs calisténicos', 'Elevaciones laterales']","[4, 3, 5, 4]","[10, 14, 13, 13]","['espalda', 'espalda', 'hombro', 'hombro']"
Femenino,26,56.4,1.74,aumento de peso,1387.44,sábado,"['Flexiones pino asistidas', 'Chin ups', 'Saltos en caja', 'Dips en paralelas']","[5, 5, 5, 5]","[18, 10, 18, 18]","['pecho', 'espalda', 'pierna', 'pecho']"
Masculino,25,68.7,1.78,perdida de peso,1727.19,lunes,"['Dips en paralelas', 'Flexiones normales', 'Flexiones diamante', 'T raises']","[3, 5, 3, 3]","[17, 19, 18, 24]","['bicep_tricep', 'pecho', 'pecho', 'hombro']"
Femenino,20,54.0,1.72,perdida de peso,1389.0,viernes,"['Muscle ups', 'Y raises', 'Flexiones pike', 'Dominadas supinas']","[4, 4, 4, 3]","[20, 19, 25, 19]","['espalda', 'hombro', 'hombro', 'espalda']"
Masculino,55,62.4,1.88,aumento de peso,1486.88,jueves,"['Flexiones inclinadas', 'Flexiones wide grip', 'Dominadas supinas']","[2, 4, 3]","[14, 13, 11]","['pecho', 'pecho', 'bicep_tricep']"
Femenino,24,55.4,1.56,aumento de peso,1354.84,lunes,"['Handstand push ups', 'Pseudo planche', 'Flexiones pike', 'Flexiones wide grip']","[4, 4, 4, 3]","[11, 13, 10, 17]","['bicep_tricep', 'bicep_tricep', 'pecho', 'pecho']"
Masculino,33,70.0,1.68,perdida de peso,1640.6,viernes,"['Remo con toalla', 'Shrugs calisténicos', 'Superman', 'Remo archer']","[4, 4, 4, 4]","[25, 20, 18, 25]","['espalda', 'hombro', 'espalda', 'espalda']"
Femenino,37,64.1,1.62,perdida de peso,1388.06,sábado,"['Zancadas', 'Flexiones wide grip', 'Flexiones pino asistidas', 'Sentadillas pistol']","[5, 5, 3, 5]","[20, 15, 19, 23]","['pierna', 'pecho', 'pecho', 'pierna']"
Masculino,40,86.9,1.86,aumento de peso,1914.53,lunes,"['Flexiones pino asistidas', 'Pike push ups', 'Flexiones diamante', 'Dips en paralelas']","[4, 5, 4, 4]","[14, 10, 15, 14]","['pecho', 'hombro', 'pecho', 'bicep_tricep']"
Femenino,29,46.6,1.58,aumento de peso,1250.46,jueves,"['Pike push ups', 'Pike push ups', 'Flexiones pino asistidas', 'Flexiones wide grip']","[4, 4, 4, 5]","[11, 10, 15, 17]","['bicep_tricep', 'bicep_tricep', 'pecho', 'pecho']"
Masculino,30,60.5,1.67,perdida de peso,1525.85,sábado,"['Sentadillas', 'Saltos en caja', 'Flexiones pike', 'Flexiones pino asistidas']","[3, 4, 3, 3]","[21, 23, 25, 23]","['pierna', 'pierna', 'pecho', 'pecho']"
Femenino,33,56.2,1.69,perdida de peso,1343.62,sábado,"['Flexiones archer', 'Dominadas supinas', 'Zancadas', 'Flexiones una mano asistidas']","[3, 5, 5, 3]","[21, 20, 23, 18]","['pecho', 'espalda', 'pierna', 'pecho']"
Masculino,55,67.9,1.74,aumento de peso,1492.23,miércoles,"['Flexiones pino', 'Hollow body hold', 'Sentadillas']","[2, 4, 3]","[9, 15, 10]","['hombro', 'hombro', 'pierna']"
Femenino,30,47.8,1.61,aumento de peso,1262.68,miércoles,"['Elevaciones laterales', 'T raises', 'Elevaciones laterales', 'Wall handstand']","[5, 3, 4, 3]","[16, 11, 11, 11]","['hombro', 'hombro', 'hombro', 'hombro']"
Masculino,42,93.3,1.73,perdida de peso,1923.61,jueves,"['Chin ups', 'Flexiones wide grip', 'Handstand push ups']","[2, 2, 4]","[12, 16, 15]","['bicep_tricep', 'pecho', 'bicep_tricep']"
Femenino,35,71.7,1.57,perdida de peso,1461.42,jueves,"['Flexiones pino asistidas', 'Flexiones pike', 'Flexiones explosivas']","[2, 2, 3]","[11, 16, 17]","['pecho', 'pecho', 'pecho']"
Masculino,49,90.7,1.74,aumento de peso,1845.39,miércoles,"['Sentadillas salto', 'Zancadas', 'Zancadas laterales']","[3, 4, 3]","[11, 9, 10]","['pierna', 'pierna', 'pierna']"
Femenino,40,59.5,1.66,aumento de peso,1337.0,martes,"['Superman', 'Remo invertido', 'Flexiones hindu', 'Pseudo planche']","[3, 3, 3, 4]","[10, 12, 17, 17]","['espalda', 'espalda', 'bicep_tricep', 'bicep_tricep']"
Masculino,36,69.4,1.9,perdida de peso,1721.98,jueves,"['Dominadas supinas', 'Dips en paralelas', 'Dips en silla', 'Dips en silla']","[3, 4, 4, 4]","[21, 18, 20, 23]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Femenino,48,48.1,1.58,perdida de peso,1175.56,jueves,"['Flexiones hindu', 'Pseudo planche', 'Flexiones pike']","[2, 2, 2]","[14, 19, 12]","['pecho', 'bicep_tricep', 'pecho']"
Masculino,36,60.6,1.71,aumento de peso,1506.42,martes,"['Dominadas supinas', 'Dominadas supinas', 'Superman', 'Handstand push ups']","[5, 4, 3, 3]","[15, 16, 14, 18]","['espalda', 'espalda', 'espalda', 'bicep_tricep']"
Femenino,43,72.0,1.74,aumento de peso,1457.3,miércoles,"['Sentadillas pistol', 'Flexiones pike', 'Flexiones pike', 'Zancadas salto']","[4, 4, 5, 5]","[15, 18, 16, 15]","['pierna', 'hombro', 'hombro', 'pierna']"
Masculino,40,77.9,1.89,perdida de peso,1806.23,martes,"['Flexiones close grip', 'Flexiones close grip', 'Chin ups', 'Remo archer']","[4, 5, 4, 3]","[13, 17, 21, 13]","['bicep_tricep', 'bicep_tricep', 'espalda', 'espalda']"
Femenino,40,49.1,1.66,perdida de peso,1237.16,viernes,"['Shrugs calisténicos', 'Remo archer', 'Shrugs calisténicos', 'Flexiones pike']","[4, 3, 5, 4]","[19, 22, 13, 17]","['hombro', 'espalda', 'hombro', 'hombro']"
Masculino,41,69.7,1.8,aumento de peso,1642.09,jueves,"['Flexiones una mano asistidas', 'Flexiones close grip', 'Pike push ups', 'Dips en paralelas']","[3, 4, 5, 4]","[18, 15, 17, 11]","['pecho', 'bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Femenino,25,55.2,1.63,aumento de peso,1360.82,miércoles,"['Elevaciones laterales', 'Wall sit', 'Zancadas', 'Zancadas']","[3, 5, 5, 4]","[18, 12, 10, 16]","['hombro', 'pierna', 'pierna', 'pierna']"
Masculino,30,60.1,1.88,perdida de peso,1625.37,sábado,"['Flexiones pike', 'Flexiones explosivas', 'Sentadillas búlgaras', 'Dominadas neutras']","[3, 4, 5, 5]","[18, 19, 17, 13]","['pecho', 'pecho', 'pierna', 'espalda']"
Femenino,45,51.0,1.56,perdida de peso,1213.9,jueves,"['Dips entre bancos', 'Dominadas supinas', 'Flexiones pino asistidas']","[3, 2, 3]","[19, 18, 14]","['bicep_tricep', 'bicep_tricep', 'pecho']"
Masculino,42,88.2,1.65,aumento de peso,1813.74,viernes,"['Dominadas comando', 'Remo invertido', 'Dominadas supinas']","[2, 2, 3]","[12, 13, 11]","['espalda', 'espalda', 'espalda']"
Femenino,49,66.8,1.56,aumento de peso,1346.78,lunes,"['Elevaciones laterales', 'Flexiones pike', 'Elevaciones laterales']","[4, 4, 4]","[11, 14, 11]","['hombro', 'pecho', 'hombro']"
Masculino,45,80.4,1.71,perdida de peso,1716.48,miércoles,"['Elevaciones laterales', 'Pike push ups', 'Flexiones pike']","[4, 4, 4]","[11, 18, 19]","['hombro', 'hombro', 'hombro']"
Femenino,24,49.8,1.6,perdida de peso,1308.28,jueves,"['Flexiones tricep', 'Flexiones pino asistidas', 'Dips entre bancos', 'Dips en silla']","[4, 3, 4, 3]","[25, 23, 15, 14]","['bicep_tricep', 'pecho', 'bicep_tricep', 'bicep_tricep']"
Masculino,36,66.5,1.72,aumento de peso,1592.25,miércoles,"['Saltos en caja', 'Elevaciones laterales', 'Saltos en caja', 'Elevaciones laterales']","[3, 5, 4, 3]","[15, 15, 13, 18]","['pierna', 'hombro', 'pierna', 'hombro']"
Femenino,32,64.9,1.59,aumento de peso,1413.84,miércoles,"['Pike push ups', 'Burpees', 'Zancadas', 'Zancadas laterales']","[5, 3, 5, 3]","[14, 13, 12, 12]","['hombro', 'pierna', 'pierna', 'pierna']"
Masculino,26,86.0,1.86,perdida de peso,1997.4,viernes,"['Chin ups', 'Remo archer', 'Remo invertido', 'Elevaciones laterales']","[6, 4, 4, 5]","[16, 17, 29, 26]","['espalda', 'espalda', 'espalda', 'hombro']"
Femenino,47,55.4,1.68,perdida de peso,1268.34,sábado,"['Remo invertido', 'Zancadas laterales', 'Zancadas laterales']","[4, 2, 3]","[11, 15, 18]","['espalda', 'pierna', 'pierna']"
Masculino,30,77.0,1.82,aumento de peso,1826.9,martes,"['Dips en silla', 'Muscle ups', 'Dominadas anchas', 'Dominadas comando']","[4, 4, 6, 5]","[17, 14, 14, 15]","['bicep_tricep', 'espalda', 'espalda', 'espalda']"
Femenino,40,73.8,1.62,aumento de peso,1467.08,miércoles,"['Flexiones pike', 'Handstand push ups', 'Sentadillas pistol']","[4, 4, 2]","[14, 12, 12]","['hombro', 'hombro', 'pierna']"
Masculino,42,84.4,1.67,perdida de peso,1771.68,jueves,"['Pseudo planche', 'Flexiones una mano asistidas', 'Flexiones hindu']","[3, 4, 2]","[11, 17, 12]","['bicep_tricep', 'pecho', 'bicep_tricep']"
Femenino,27,46.5,1.67,perdida de peso,1275.1,viernes,"['Flexiones pike', 'Flexiones pike', 'Remo con toalla', 'Wall handstand']","[4, 4, 5, 5]","[16, 24, 18, 16]","['hombro', 'hombro', 'espalda', 'hombro']"
Masculino,19,93.7,1.75,aumento de peso,2095.49,viernes,"['Dominadas pronadas', 'Shrugs calisténicos', 'Hollow body hold']","[2, 2, 4]","[10, 10, 14]","['espalda', 'hombro', 'hombro']"
Femenino,47,63.2,1.66,aumento de peso,1339.62,viernes,"['Shrugs calisténicos', 'Plancha lateral', 'Chin ups']","[2, 4, 2]","[15, 12, 12]","['hombro', 'hombro', 'espalda']"
Masculino,33,64.2,1.88,perdida de peso,1661.14,lunes,"['Plancha lateral', 'Flexiones pike', 'Hollow body hold', 'Flexiones diamante']","[5, 4, 3, 4]","[15, 17, 25, 18]","['hombro', 'pecho', 'hombro', 'pecho']"
Femenino,46,58.1,1.59,perdida de peso,1282.76,sábado,"['Elevación de talones', 'Remo archer', 'Muscle ups']","[2, 2, 4]","[14, 18, 11]","['pierna', 'espalda', 'espalda']"
Masculino,20,70.7,1.73,aumento de peso,1763.59,sábado,"['Dominadas supinas', 'Sentadillas salto', 'Dips en paralelas', 'Muscle ups']","[4, 4, 5, 4]","[17, 14, 12, 16]","['espalda', 'pierna', 'pecho', 'espalda']"
Femenino,55,52.7,1.74,aumento de peso,1215.62,martes,"['Flexiones diamante', 'Dips entre bancos', 'Dips entre bancos']","[2, 2, 4]","[9, 9, 8]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Masculino,32,73.3,1.75,perdida de peso,1727.61,miércoles,"['Elevaciones laterales', 'Handstand hold', 'Flexiones pino', 'Sentadillas']","[5, 4, 3, 4]","[18, 18, 18, 13]","['hombro', 'hombro', 'hombro', 'pierna']"
Femenino,44,72.6,1.69,perdida de peso,1449.36,jueves,"['Dips en paralelas', 'Flexiones hindu', 'Flexiones hindu', 'Dominadas supinas']","[5, 4, 5, 5]","[21, 14, 25, 16]","['bicep_tricep', 'bicep_tricep', 'pecho', 'bicep_tricep']"
Masculino,48,62.4,1.74,aumento de peso,1464.48,martes,"['Pike push ups', 'Dominadas supinas', 'Remo invertido']","[3, 4, 3]","[9, 15, 15]","['bicep_tricep', 'bicep_tricep', 'espalda']"
Femenino,48,52.4,1.69,aumento de peso,1236.64,jueves,"['Dips en paralelas', 'Flexiones diamante', 'Flexiones una mano asistidas']","[4, 4, 2]","[15, 10, 9]","['bicep_tricep', 'pecho', 'pecho']"
Masculino,22,84.5,1.7,perdida de peso,1924.05,miércoles,"['Handstand push ups', 'Sentadillas', 'Zancadas laterales']","[2, 2, 4]","[18, 17, 15]","['hombro', 'pierna', 'pierna']"
Femenino,24,59.4,1.69,perdida de peso,1416.64,viernes,"['Remo con toalla', 'Flexiones pino', 'Handstand push ups', 'Flexiones pino']","[5, 5, 6, 6]","[25, 17, 30, 16]","['espalda', 'hombro', 'hombro', 'hombro']"
Masculino,35,91.9,1.86,aumento de peso,2017.03,sábado,"['Dips en paralelas', 'Flexiones hindu', 'Wall sit', 'Flexiones normales']","[4, 3, 5, 3]","[16, 15, 11, 18]","['pecho', 'pecho', 'pierna', 'pecho']"
Femenino,37,61.5,1.72,aumento de peso,1381.1,miércoles,"['Sentadillas', 'Saltos en caja', 'Elevación de talones', 'Y raises']","[5, 5, 3, 5]","[18, 15, 11, 12]","['pierna', 'pierna', 'pierna', 'hombro']"
Masculino,36,68.3,1.85,perdida de peso,1681.91,jueves,"['Flexiones diamante', 'Flexiones una mano asistidas', 'Flexiones inclinadas', 'Flexiones tricep']","[3, 3, 5, 5]","[15, 14, 23, 20]","['bicep_tricep', 'pecho', 'pecho', 'bicep_tricep']"
Femenino,26,73.9,1.72,perdida de peso,1551.84,lunes,"['Flexiones diamante', 'Flexiones hindu', 'Dips entre bancos', 'Flexiones una mano asistidas']","[4, 4, 6, 5]","[17, 30, 18, 29]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep', 'pecho']"
Masculino,36,67.2,1.84,aumento de peso,1661.84,miércoles,"['Pike push ups', 'Plancha lateral', 'Burpees', 'Handstand hold']","[3, 3, 4, 4]","[13, 10, 14, 12]","['hombro', 'hombro', 'pierna', 'hombro']"
Femenino,33,52.4,1.61,aumento de peso,1292.74,viernes,"['Dominadas comando', 'Superman', 'Superman', 'Flexiones pino']","[4, 3, 5, 3]","[15, 14, 14, 16]","['espalda', 'espalda', 'espalda', 'hombro']"
Masculino,53,71.9,1.76,perdida de peso,1570.63,jueves,"['Flexiones close grip', 'Flexiones pike', 'Chin ups']","[3, 3, 3]","[16, 14, 14]","['bicep_tricep', 'pecho', 'bicep_tricep']"
Femenino,54,68.5,1.69,perdida de peso,1363.0,viernes,"['Pull ups', 'Pull ups', 'Flexiones pike']","[4, 4, 3]","[18, 20, 20]","['espalda', 'espalda', 'hombro']"
Masculino,33,74.3,1.67,aumento de peso,1694.51,sábado,"['Muscle ups', 'Remo con toalla', 'Pull ups', 'Dominadas neutras']","[4, 5, 4, 5]","[18, 18, 14, 18]","['espalda', 'espalda', 'espalda', 'espalda']"
Femenino,43,60.4,1.59,aumento de peso,1318.94,viernes,"['Y raises', 'Dominadas supinas', 'Elevaciones laterales', 'Dominadas anchas']","[5, 3, 5, 4]","[13, 15, 11, 15]","['hombro', 'espalda', 'hombro', 'espalda']"
Masculino,41,88.3,1.7,perdida de peso,1846.91,sábado,"['Sentadillas sumo', 'Flexiones pike', 'Superman']","[2, 2, 3]","[20, 12, 16]","['pierna', 'pecho', 'espalda']"
Femenino,38,49.0,1.69,perdida de peso,1251.0,lunes,"['Handstand push ups', 'Elevaciones laterales', 'Wall handstand', 'Flexiones archer']","[4, 4, 5, 3]","[21, 16, 24, 14]","['bicep_tricep', 'hombro', 'hombro', 'pecho']"
Masculino,52,74.7,1.78,aumento de peso,1625.79,miércoles,"['Burpees', 'Handstand push ups', 'Hollow body hold']","[2, 2, 2]","[9, 13, 8]","['pierna', 'hombro', 'hombro']"
Femenino,34,51.5,1.58,aumento de peso,1274.0,lunes,"['Plancha lateral', 'Dips entre bancos', 'Flexiones pike', 'Flexiones normales']","[4, 4, 4, 3]","[14, 18, 15, 16]","['hombro', 'bicep_tricep', 'pecho', 'pecho']"
Masculino,53,90.1,1.87,perdida de peso,1874.97,jueves,"['Flexiones hindu', 'Flexiones close grip', 'Dips entre bancos']","[4, 3, 2]","[11, 11, 15]","['pecho', 'bicep_tricep', 'bicep_tricep']"
Femenino,22,65.9,1.55,perdida de peso,1463.24,lunes,"['Pike push ups', 'Flexiones una mano asistidas', 'Flexiones declinadas', 'Flexiones pike']","[4, 3, 3, 3]","[21, 19, 24, 17]","['bicep_tricep', 'pecho', 'pecho', 'hombro']"
Masculino,44,66.4,1.76,aumento de peso,1556.48,lunes,"['Flexiones diamante', 'Handstand hold', 'Flexiones diamante', 'Flexiones pike']","[3, 5, 4, 3]","[11, 10, 11, 12]","['bicep_tricep', 'hombro', 'pecho', 'hombro']"
Femenino,41,54.0,1.58,aumento de peso,1265.1,sábado,"['Dominadas neutras', 'Dips en paralelas', 'Remo con toalla', 'Chin ups']","[3, 4, 4, 4]","[11, 15, 14, 12]","['espalda', 'pecho', 'espalda', 'espalda']"
Masculino,26,60.1,1.77,perdida de peso,1597.57,lunes,"['Dominadas supinas', 'Flexiones pike', 'Flexiones archer', 'Y raises']","[5, 5, 3, 4]","[13, 16, 22, 23]","['bicep_tricep', 'pecho', 'pecho', 'hombro']"
Femenino,25,47.2,1.62,perdida de peso,1282.22,jueves,"['Dominadas supinas', 'Flexiones diamante', 'Flexiones diamante', 'Flexiones normales']","[3, 4, 5, 3]","[17, 21, 17, 24]","['bicep_tricep', 'pecho', 'pecho', 'pecho']"
Masculino,26,60.8,1.86,aumento de peso,1652.16,sábado,"['Sentadillas pistol', 'Sentadillas sumo', 'Saltos en caja', 'Chin ups']","[3, 3, 3, 3]","[17, 10, 11, 18]","['pierna', 'pierna', 'pierna', 'espalda']"
Femenino,23,74.7,1.7,aumento de peso,1570.02,jueves,"['Chin ups', 'Flexiones hindu', 'Flexiones close grip', 'Flexiones hindu']","[4, 5, 3, 5]","[10, 16, 13, 10]","['bicep_tricep', 'pecho', 'bicep_tricep', 'pecho']"
Masculino,44,84.7,1.73,perdida de peso,1792.19,jueves,"['Flexiones diamante', 'Flexiones declinadas', 'Flexiones archer']","[4, 3, 3]","[20, 12, 19]","['pecho', 'pecho', 'pecho']"
Femenino,43,62.6,1.73,perdida de peso,1365.26,miércoles,"['Elevaciones laterales', 'Sentadillas', 'T raises', 'Flexiones pike']","[3, 4, 4, 3]","[13, 23, 23, 16]","['hombro', 'pierna', 'hombro', 'hombro']"
Masculino,50,82.6,1.8,aumento de peso,1757.62,viernes,"['Y raises', 'Dominadas neutras', 'Pike push ups']","[4, 3, 3]","[10, 15, 8]","['hombro', 'espalda', 'hombro']"
Femenino,51,58.7,1.68,aumento de peso,1281.22,martes,"['Superman', 'Chin ups', 'Dips entre bancos']","[4, 3, 2]","[10, 15, 8]","['espalda', 'espalda', 'bicep_tricep']"
Masculino,43,86.7,1.8,perdida de peso,1861.39,miércoles,"['Sentadillas sumo', 'Elevación de talones', 'Sentadillas sumo', 'Flexiones pino']","[5, 5, 5, 4]","[23, 13, 21, 18]","['pierna', 'pierna', 'pierna', 'hombro']"
Femenino,30,55.5,1.63,perdida de peso,1340.2,jueves,"['Chin ups', 'Flexiones pike', 'Flexiones declinadas', 'Pike push ups']","[3, 3, 3, 5]","[14, 25, 17, 14]","['bicep_tricep', 'pecho', 'pecho', 'bicep_tricep']"
Masculino,28,93.1,1.8,aumento de peso,2051.07,sábado,"['Flexiones declinadas', 'Dominadas neutras', 'Sentadillas salto']","[3, 4, 3]","[12, 12, 12]","['pecho', 'espalda', 'pierna']"
Femenino,48,74.5,1.74,aumento de peso,1457.8,martes,"['Dominadas pronadas', 'Handstand push ups', 'Dominadas pronadas']","[2, 3, 4]","[13, 10, 10]","['espalda', 'bicep_tricep', 'espalda']"
Masculino,27,92.0,1.74,perdida de peso,2012.8,jueves,"['Chin ups', 'Pseudo planche', 'Flexiones diamante']","[4, 3, 3]","[18, 13, 14]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Femenino,54,51.1,1.62,perdida de peso,1183.36,viernes,"['Flexiones pino', 'Wall handstand', 'Plancha lateral']","[2, 2, 2]","[17, 20, 19]","['hombro', 'hombro', 'hombro']"
Masculino,26,68.1,1.81,aumento de peso,1727.17,sábado,"['Chin ups', 'Flexiones una mano asistidas', 'Elevación de talones', 'Pull ups']","[5, 3, 3, 5]","[12, 11, 16, 16]","['espalda', 'pecho', 'pierna', 'espalda']"
Femenino,46,45.3,1.74,aumento de peso,1186.88,viernes,"['Handstand hold', 'T raises', 'Dominadas supinas']","[3, 4, 2]","[11, 13, 15]","['hombro', 'hombro', 'espalda']"
Masculino,22,92.4,1.87,perdida de peso,2117.28,jueves,"['Flexiones hindu', 'Flexiones diamante', 'Flexiones normales', 'Flexiones hindu']","[4, 5, 4, 5]","[15, 19, 19, 16]","['pecho', 'bicep_tricep', 'pecho', 'bicep_tricep']"
Femenino,19,65.1,1.61,perdida de peso,1480.46,martes,"['Dominadas pronadas', 'Dominadas supinas', 'Dominadas pronadas', 'Flexiones diamante']","[3, 5, 4, 5]","[14, 13, 16, 16]","['espalda', 'espalda', 'espalda', 'bicep_tricep']"
Masculino,51,79.3,1.88,aumento de peso,1745.61,miércoles,"['Sentadillas', 'Sentadillas pistol', 'Elevaciones laterales']","[3, 4, 3]","[14, 8, 8]","['pierna', 'pierna', 'hombro']"
Femenino,38,63.9,1.58,aumento de peso,1374.24,lunes,"['Dips en paralelas', 'Pike push ups', 'Flexiones pike', 'Flexiones archer']","[3, 3, 5, 3]","[13, 16, 16, 13]","['bicep_tricep', 'bicep_tricep', 'pecho', 'pecho']"
Masculino,44,93.7,1.85,perdida de peso,1975.49,sábado,"['Zancadas salto', 'Flexiones explosivas', 'Flexiones archer', 'Saltos en caja']","[5, 3, 5, 5]","[20, 20, 17, 14]","['pierna', 'pecho', 'pecho', 'pierna']"
Femenino,23,60.6,1.73,perdida de peso,1440.06,jueves,"['Dips en silla', 'Flexiones hindu', 'Flexiones hindu', 'Flexiones close grip']","[4, 5, 6, 4]","[16, 21, 30, 17]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Masculino,49,80.0,1.88,aumento de peso,1768.8,jueves,"['Flexiones close grip', 'Flexiones hindu', 'Flexiones tricep']","[3, 2, 3]","[14, 15, 15]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Femenino,37,63.4,1.63,aumento de peso,1383.14,lunes,"['Flexiones explosivas', 'Flexiones diamante', 'Dips entre bancos', 'Chin ups']","[3, 4, 5, 5]","[13, 14, 13, 16]","['pecho', 'pecho', 'bicep_tricep', 'bicep_tricep']"
Masculino,26,92.8,1.87,perdida de peso,2095.56,viernes,"['T raises', 'T raises', 'Handstand hold', 'Dominadas neutras']","[5, 5, 5, 5]","[19, 16, 15, 25]","['hombro', 'hombro', 'hombro', 'espalda']"
Femenino,52,61.4,1.62,perdida de peso,1291.64,sábado,"['Remo con toalla', 'Flexiones una mano asistidas', 'Flexiones inclinadas']","[2, 3, 3]","[15, 11, 15]","['espalda', 'pecho', 'pecho']"
Masculino,32,66.2,1.7,aumento de peso,1605.34,lunes,"['Pseudo planche', 'Flexiones hindu', 'Dips en paralelas', 'Flexiones tricep']","[3, 5, 3, 3]","[12, 14, 13, 16]","['bicep_tricep', 'pecho', 'bicep_tricep', 'bicep_tricep']"
Femenino,53,66.1,1.58,aumento de peso,1324.86,lunes,"['Flexiones una mano asistidas', 'T raises', 'Chin ups']","[3, 2, 3]","[12, 12, 14]","['pecho', 'hombro', 'bicep_tricep']"
Masculino,21,80.9,1.79,perdida de peso,1926.53,jueves,"['Flexiones pino asistidas', 'Flexiones archer', 'Flexiones close grip', 'Pseudo planche']","[4, 5, 4, 3]","[24, 25, 14, 19]","['pecho', 'pecho', 'bicep_tricep', 'bicep_tricep']"
Femenino,55,72.5,1.55,perdida de peso,1371.5,viernes,"['Remo con toalla', 'Muscle ups', 'Muscle ups']","[2, 3, 4]","[19, 20, 13]","['espalda', 'espalda', 'espalda']"
Masculino,39,67.8,1.71,aumento de peso,1584.66,sábado,"['Sentadillas pistol', 'Sentadillas', 'Flexiones normales', 'Elevación de talones']","[3, 5, 4, 3]","[15, 10, 16, 11]","['pierna', 'pierna', 'pecho', 'pierna']"
Femenino,35,65.3,1.71,aumento de peso,1425.18,martes,"['Dominadas comando', 'Dips en paralelas', 'Dominadas neutras', 'Flexiones diamante']","[3, 5, 5, 5]","[12, 12, 14, 16]","['espalda', 'bicep_tricep', 'espalda', 'bicep_tricep']"
Masculino,52,69.5,1.78,perdida de peso,1554.55,miércoles,"['Sentadillas búlgaras', 'Shrugs calisténicos', 'Zancadas']","[2, 4, 2]","[19, 15, 16]","['pierna', 'hombro', 'pierna']"
Femenino,26,56.0,1.64,perdida de peso,1365.6,martes,"['Remo con toalla', 'Dominadas supinas', 'Flexiones hindu', 'Dips entre bancos']","[3, 3, 4, 3]","[23, 14, 24, 25]","['espalda', 'espalda', 'bicep_tricep', 'bicep_tricep']"
Masculino,29,63.6,1.74,aumento de peso,1610.12,jueves,"['Flexiones pike', 'Flexiones declinadas', 'Dips en silla', 'Flexiones pino asistidas']","[5, 5, 3, 4]","[10, 15, 13, 12]","['pecho', 'pecho', 'bicep_tricep', 'pecho']"
Femenino,38,70.8,1.72,aumento de peso,1465.68,lunes,"['Flexiones pike', 'Flexiones pike', 'Handstand hold', 'Handstand push ups']","[5, 4, 5, 3]","[10, 14, 13, 16]","['pecho', 'pecho', 'hombro', 'hombro']"
Masculino,19,66.8,1.66,perdida de peso,1681.96,miércoles,"['Elevaciones laterales', 'Elevación de talones', 'T raises', 'Flexiones pino']","[3, 4, 5, 3]","[21, 17, 21, 18]","['hombro', 'pierna', 'hombro', 'hombro']"
Femenino,23,64.6,1.68,perdida de peso,1469.46,jueves,"['Dips en paralelas', 'Flexiones una mano asistidas', 'Flexiones diamante', 'Handstand push ups']","[6, 5, 5, 5]","[18, 15, 28, 20]","['pecho', 'pecho', 'bicep_tricep', 'bicep_tricep']"
Masculino,35,70.0,1.83,aumento de peso,1702.0,viernes,"['Dominadas neutras', 'Remo con toalla', 'Y raises', 'Pike push ups']","[4, 4, 3, 5]","[18, 12, 10, 12]","['espalda', 'espalda', 'hombro', 'hombro']"
Femenino,45,69.1,1.66,aumento de peso,1405.66,lunes,"['Flexiones pike', 'Plancha lateral', 'Flexiones normales']","[4, 4, 2]","[15, 9, 13]","['hombro', 'hombro', 'pecho']"
Masculino,27,72.8,1.72,perdida de peso,1739.76,sábado,"['Zancadas', 'Chin ups', 'Chin ups', 'Elevación de talones']","[5, 4, 4, 5]","[18, 14, 17, 24]","['pierna', 'espalda', 'espalda', 'pierna']"
Femenino,55,72.6,1.6,perdida de peso,1381.46,lunes,"['Flexiones hindu', 'Dips en paralelas', 'Pseudo planche']","[4, 2, 4]","[15, 19, 18]","['pecho', 'pecho', 'bicep_tricep']"
Masculino,55,91.1,1.74,aumento de peso,1810.07,sábado,"['Sentadillas salto', 'Flexiones diamante', 'Remo archer']","[3, 2, 4]","[9, 10, 12]","['pierna', 'pecho', 'espalda']"
Femenino,44,57.4,1.61,aumento de peso,1289.04,jueves,"['Flexiones hindu', 'Flexiones archer', 'Chin ups', 'Flexiones diamante']","[5, 3, 5, 3]","[18, 17, 11, 15]","['bicep_tricep', 'pecho', 'bicep_tricep', 'bicep_tricep']"
